Lexeme: 	class 	 Token: 	CLASS	 Attribute: 	-

Lexeme: 	Program	 Token: 	ID	 Attribute: 	0

Lexeme: 	{	 Token: 	LCB	 Attribute: 	-

Lexeme: 	int 	 Token: 	INT_TYPE	 Attribute: 	-

Lexeme: 	my_v_ar	 Token: 	ID	 Attribute: 	1

Lexeme: 	,	 Token: 	COMMA	 Attribute: 	-

Lexeme: 	integerId	 Token: 	ID	 Attribute: 	2

Lexeme: 	=	 Token: 	ASSIGNMENT	 Attribute: 	-

Lexeme: 	4	 Token: 	INTEGER	 Attribute: 	4

Lexeme: 	;	 Token: 	SEMICOLON	 Attribute: 	-

Lexeme: 	static 	 Token: 	SATATIC	 Attribute: 	-

Lexeme: 	void	 Token: 	VOID	 Attribute: 	-

Lexeme: 	_main	 Token: 	ID	 Attribute: 	3

Lexeme: 	(	 Token: 	LP	 Attribute: 	-

Lexeme: 	)	 Token: 	RP	 Attribute: 	-

Lexeme: 	{	 Token: 	LCB	 Attribute: 	-

Lexeme: 	my_v_ar	 Token: 	ID	 Attribute: 	1

Lexeme: 	=	 Token: 	ASSIGNMENT	 Attribute: 	-

Lexeme: 	-	 Token: 	SUBTRACTION	 Attribute: 	-

Lexeme: 	23	 Token: 	INTEGER	 Attribute: 	23

Lexeme: 	-	 Token: 	SUBTRACTION	 Attribute: 	-

Lexeme: 	22	 Token: 	INTEGER	 Attribute: 	22

Lexeme: 	;	 Token: 	SEMICOLON	 Attribute: 	-

Lexeme: 	print	 Token: 	PRINT	 Attribute: 	-

Lexeme: 	(	 Token: 	LP	 Attribute: 	-

Lexeme: 	"N
		Sanity."	 Token: 	STRING	 Attribute: 	"N
		Sanity."

Lexeme: 	)	 Token: 	RP	 Attribute: 	-

Lexeme: 	;	 Token: 	SEMICOLON	 Attribute: 	-

Lexeme: 	for	 Token: 	FOR	 Attribute: 	-

Lexeme: 	(	 Token: 	LP	 Attribute: 	-

Lexeme: 	integerId	 Token: 	ID	 Attribute: 	2

Lexeme: 	in 	 Token: 	IN	 Attribute: 	-

Lexeme: 	0	 Token: 	INTEGER	 Attribute: 	0

Lexeme: 	to 	 Token: 	TO	 Attribute: 	-

Lexeme: 	100	 Token: 	INTEGER	 Attribute: 	100

Lexeme: 	steps 	 Token: 	STEPS	 Attribute: 	-

Lexeme: 	10	 Token: 	INTEGER	 Attribute: 	10

Lexeme: 	)	 Token: 	RP	 Attribute: 	-

Lexeme: 	{	 Token: 	LCB	 Attribute: 	-

Lexeme: 	my_v_ar	 Token: 	ID	 Attribute: 	1

Lexeme: 	=	 Token: 	ASSIGNMENT	 Attribute: 	-

Lexeme: 	integerId	 Token: 	ID	 Attribute: 	2

Lexeme: 	<<	 Token: 	SHIFT_LEFT	 Attribute: 	-

Lexeme: 	2	 Token: 	INTEGER	 Attribute: 	2

Lexeme: 	;	 Token: 	SEMICOLON	 Attribute: 	-

Lexeme: 	}	 Token: 	RCB	 Attribute: 	-

